epoch,train_loss,train_acc,val_acc,val_mIoU
1,2.7077206476956985,0.4312141757607319,,
2,0.9010032851579068,0.7503768086380335,,
3,0.8489052615588224,0.7657417388662044,,
4,0.9394335276152515,0.7621992137607391,,
5,0.9009469414153431,0.7712110434424148,0.7815749085057635,0.4286236024000808
6,0.8758294564447825,0.7760802752890867,,
7,0.8615886553933348,0.7792009843874587,,
8,0.84983201471122,0.780982072279501,,
9,0.8489273530490036,0.7826334724141423,,
10,0.8331139239517948,0.7862898913978349,0.7764401833780398,0.42567756098744997
11,0.8232469180999678,0.7872348752280076,,
12,0.8104656255697902,0.7886084062416663,,
13,0.8061641154315653,0.7898395124258099,,
14,0.7988833405454702,0.7908793903032763,,
15,0.7825214626102508,0.7932023198326552,0.7889253493750965,0.4337954101855154
16,0.7750776844877231,0.7944626568783018,,
17,0.7721582077726533,0.7950619386595351,,
18,0.7607593077553224,0.7962110638740248,,
19,0.746141225052408,0.798706251121002,,
20,0.7273003087390827,0.801615746760875,0.7862723520300325,0.4309203585803986
21,0.7268037738962264,0.8012222705783707,,
22,0.7105147572635095,0.8033647123404144,,
23,0.7028617421282998,0.8039068725159711,,
24,0.6994960823485369,0.8041481726007882,,
25,0.6812009693040878,0.8073632816543156,0.7949059619688772,0.44918930522494815
26,0.6782324137755588,0.80735746106809,,
27,0.6613073776700075,0.8096212798175764,,
28,0.6599975498511067,0.8093743882955247,,
29,0.6413526146472255,0.8130173579861742,,
30,0.629958227182491,0.814466845516823,0.7993952811004327,0.45932950983804055
31,0.6186749346177035,0.8160533349800266,0.7971564388406782,0.46201795603840773
32,0.6160636501316028,0.8158692023520775,0.8015710228674477,0.45729270089217217
33,0.6047743726757508,0.8185368191204947,0.8011128858090717,0.4674804351067477
34,0.5990059265418898,0.8188208447933322,0.8009656193870629,0.4569221057152953
35,0.5867684184561802,0.8207161180900435,0.7986921770509717,0.464231032605072
36,0.5796016631530055,0.8227211124206166,0.8044864442183072,0.4700512910874818
37,0.5652956434914583,0.8253200205107114,0.8035768772810947,0.4746078089500838
38,0.5611580812101122,0.8257437842737588,0.8038180707191922,0.4644882677686681
39,0.5513653266656248,0.8280912673735833,0.8049841189788087,0.4705213046099514
40,0.5450365725857548,0.8293315376921908,0.8047564989149893,0.47269049530119295
41,0.5354322610965258,0.8311252550334007,0.8052841235765905,0.47832970730789953
42,0.5324350736469408,0.8318916392013376,0.8076948796141697,0.47296337592892845
43,0.5227067982188508,0.8333308620511174,0.8087498007136924,0.48118993117407893
44,0.5179222947623157,0.8345926396667496,0.8117158215162769,0.4850166844041337
45,0.5128651500408408,0.83580807725758,0.8112492892708659,0.48378123150461877
46,0.5096476500547384,0.8360439668038354,0.8099452973649353,0.48298222612634506
47,0.5035485440888737,0.8377161354810553,0.8113284054482448,0.48231375381516556
48,0.5021947961347767,0.8377271028086571,0.811331110745281,0.4817905744789109
49,0.4945400446841988,0.8398991590509642,0.8129127309564015,0.4866464854212366
50,0.4900370890015288,0.8415668309082355,0.8145640242884788,0.48590486337560584
51,0.4859987477052815,0.8431478369961408,0.8140960751768734,0.4926890919356206
52,0.4844251281664341,0.8429226877520745,0.8144985874955109,0.49228146063137607
53,0.47971738676858855,0.8443869810560689,0.8152204247585857,0.49258564897964824
54,0.47621732667277133,0.845317094784567,0.8170288475323111,0.49425467134395706
55,0.47444124246322655,0.8454393557480352,0.8164065211651911,0.4956209599964503
56,0.4708828133401237,0.8465500249578456,0.817150987514251,0.4952061057510385
57,0.4722212790688382,0.8462786971946239,0.8173160167494297,0.49605982975488017
58,0.4702747910271717,0.846809966817766,0.8172884581922815,0.4954561128231504
59,0.46903498216143136,0.8473173492485478,0.8174841895927696,0.49591826467837136
60,0.4688471696233448,0.8467433313665592,0.817522416438833,0.49607246152979806
